analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3
In_vitro_1180_dep_dose_release_il1b.txt,0.001316,0.00129,0.00134,1180,822,Pavan 2014,Crystalline SiO2,,DMEM,2.65,443.8,1700,1.492661339,6,mouse,mouse macrophages,5.2,0.227148097,101405.4004,118.3561087,release_il1b,0.068432,0.06708,587.4999997
In_vitro_1181_dep_dose_release_il1b.txt,0.002196,0.00216,0.00223,1181,826,Pavan 2014,Crystalline SiO2,,DMEM,2.65,443.8,1400,1.58672863,6,mouse,mouse macrophages,5.2,0.458318955,204606.6763,238.8082875,release_il1b,0.114192,0.11232,980.3571427
In_vitro_1182_dep_dose_release_il1b.txt,1.00E-06,,,1182,829,Pavan 2014,Crystalline SiO2,,DMEM,2.65,378,1700,1.426405242,6,mouse,mouse macrophages,6.1,0.394017174,182415.3583,212.7208969,release_il1b,6.10E-05,,0.462962963
In_vitro_1037_dep_dose_release_il1b.txt,1.08E-05,,,1037,149,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14,137.3,1.162809734,48,mouse,MH-S murine macrophages,189.16,0.001049991,230.2611843,0.268255794,release_il1b,0.02042928,,2.368421054
In_vitro_1038_dep_dose_release_il1b.txt,9.20E-06,,,1038,152,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13,138.3,1.152047858,48,mouse,MH-S murine macrophages,203.92,0.001038661,247.3002381,0.288638413,release_il1b,0.01876064,,2.190476191
In_vitro_1039_dep_dose_release_il1b.txt,3.30E-06,3.24E-06,3.36E-06,1039,155,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14,137.3,1.162809734,48,mouse,RAW264.7 murine macrophages,189.16,0.001049991,230.2611843,0.268255794,release_il1b,0.00624228,0.006128784,0.723684211
In_vitro_1040_dep_dose_release_il1b.txt,3.97E-06,0,0.000337,1040,158,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13,138.3,1.152047858,48,mouse,RAW264.7 murine macrophages,203.92,0.001038661,247.3002381,0.288638413,release_il1b,0.008095624,0,0.945238095
In_vitro_1067_dep_dose_release_il1b.txt,0.0001811,4.53E-06,0.0028,1067,258,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17,1350,1.4634,24,human,THP1,93.37068161,0.151387517,27828.58768,32.42263693,release_il1b,0.169094304,0.004229692,33.29044117
In_vitro_1069_dep_dose_release_il1b.txt,0.03383,0.00556,0.0887,1069,264,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17,1140,1.4896,24,human,THP1,93.37068161,0.002338376,429.8485297,0.500809562,release_il1b,31.58730159,5.191409898,6218.750004
In_vitro_1096_dep_dose_release_il1b.txt,2.53E-05,2.47E-05,2.59E-05,1096,400,Dinesh 2017,TiO2,anatase,DMEM,3.78,85.5,1562,1.203470463,24,mouse,RAW264.7,18.56493085,2.92E-05,6.47450111,0.007550245,release_il1b,0.004696928,0.004585538,5.609756099
In_vitro_1097_dep_dose_release_il1b.txt,0.0001897,5.73E-05,0.000584,1097,404,Dinesh 2017,TiO2,anatase,DMEM,3.78,72.8,848,1.305075106,24,mouse,RAW264.7,21.80359323,2.62E-05,5.271629779,0.006140989,release_il1b,0.041361416,0.012493459,38.16901409
In_vitro_1115_dep_dose_release_il1b.txt,0.00274,0.000375,0.0028,1115,533,Cho 2013,CeO2,,RPMI+10%FBS,7.2,9.7,69.3,2.065022988,24,human,THP1 macrophages,24.1,0.059264066,22279.72388,26.0183677,release_il1b,0.66034,0.090375,1030.07518
In_vitro_1120_dep_dose_release_il1b.txt,0.000654,9.68E-06,0.00433,1120,551,Cho 2013,TiO2,rutile,RPMI+10%FBS,4.23,30.5,89.8,2.228612555,24,human,THP1 macrophages,27.5,0.016272368,2435.983299,2.841207052,release_il1b,0.17985,0.002662,97.90419425
In_vitro_1125_dep_dose_release_il1b.txt,4.93E-07,0,0.00016,1125,571,Cho 2013,Amorphous SiO2,,RPMI+10%FBS,2.2,6.2,398.1,1.038490568,24,human,THP1 macrophages,523.4,0.00121068,1574.356326,1.836191503,release_il1b,0.002580362,0,0.641092335
