analysis,BMD mg/cm2,BMDL mg/cm2,BMDH mg/cm2,g_id,id,author,link,particle,type,prod,animal,sex_x,weight,admin,hours,days,weeks,number,h_between,h_after,dose_per_kg,pp_diam,ssa,air_gmd,air_diam,agg_diam,agg_diam_pta,Dep_fraction_area_after_time_mg/cm2/mg/m3,Dep_fraction_area_end_exposure_mg/cm2/mg/m3,dep_area_end_exposure_mg/cm2,dep_area_at_measurement_mg/cm2,variable,value,pp_density,SA_BMD_cm2/cm2,air_density,Lung_Model,sex_y,Alv_retention_h_mg,Alv_retention_5_mg,Alv_retention_y_mg,Alv_retention_w_mg,Alv_retention_lifetime_mg,Alv_surface_cm2,Dep_area_h_mg/cm2,Dep_area_5d_mg/cm2,Dep_area_y_mg/cm2,Dep_area_w_mg/cm2,Dep_area_lifetime_mg/cm2,BMD_air_exp_human_mg_m3,Unnamed: 51,BMD_air_five_d_human_mg_m3,BMD_air_y_human_mg_m3,BMD_air_life_human_mg_m3,SA_BMD_cm2/cm2.1,animal2
In_vivo_102_dep_dose_neutro_percent.txt,5.47E-05,3.71E-05,5.60E-05,102,5,Arts 2007,https://www.sciencedirect.com/science/article/pii/S0278691507001408,Amorphous SiO2,Zeosil 45,Rhodia,Wistar rat,M + F,0.325,inhalation,6,5,1,0,0,0,,10.90909091,250,,3110,,,2.35E-06,2.35E-06,0,0,neutro_percent,1.664295875,2.2,0.13675,1,Yeh/Schum Symmetric,man,1.945,2.592,88,476.5,2223,792000,2.46E-06,3.27E-06,0.000111111,0.000601641,0.002806818,22.27372751,0,16.71388889,0.4923,0.019488259,,rat
In_vivo_103_dep_dose_neutro_percent.txt,4.44E-05,3.16E-05,6.47E-05,103,12,Arts 2007,https://www.sciencedirect.com/science/article/pii/S0278691507001408,Amorphous SiO2,Syloid 77,Grace Gmbh,Wistar rat,M,0.325,inhalation,6,5,1,0,0,0,,13.63636364,200,,1540,,,3.16E-06,3.16E-06,7.92E-05,7.92E-05,neutro_percent,67.25069252,2.2,0.0888,1,Yeh/Schum Symmetric,man,2.637,3.515,119.3,646.2,3014,792000,3.33E-06,4.44E-06,0.000150631,0.000815909,0.003805556,13.33515358,0,10.00421053,0.29475943,0.011667153,,rat
In_vivo_106_dep_dose_neutro_percent.txt,1.00E-06,0,3.77E-06,106,23,Cho 2007,https://www.sciencedirect.com/science/article/pii/S0378427407009629,Amorphous SiO2,,,A/J mouse,M,0.023,intratracheal instillation,,,0,1,0,24,0,14,194.8051948,,,,,0.00204499,0.00204499,0,0,neutro_percent,0.2,2.2,0.001948052,,Yeh/Schum Symmetric,man,,3.615,122.7,664.6,3100,792000,,4.56E-06,0.000154924,0.000839141,0.003914141,,0,0.219087137,0.006454768,0.000255484,,mouse
In_vivo_125_dep_dose_neutro_percent.txt,1.08E-10,4.86E-11,1.16E-08,125,94,Guichard 2014,https://onlinelibrary.wiley.com/doi/full/10.1002/em.21928?casa_token=1oy56WkFKC8AAAAA%3AQCO-_Of-scsHZ0WU9xC4IO1l1SytwZrshVSPsAy11C0kzvdptItduc8uxoWLkFwxgy4VsUzanDSYfarl,Amorphous SiO2,,JRC NM200,Sprague-Dawley rat,M,0.208,intratracheal instillation,,,0,3,24,3,0,18.3,189,,,575,,0.000160154,0.000160154,0,0,neutro_percent,30,2.2,2.04E-07,0.098838831,Yeh/Schum Symmetric,man,,4.539,154.1,834.4,3893,792000,,5.73E-06,0.000194571,0.001053535,0.004915404,,0,1.88E-05,5.55E-07,2.20E-08,,rat
In_vivo_126_dep_dose_neutro_percent.txt,7.02E-10,7.38E-11,4.23E-08,126,98,Guichard 2014,https://onlinelibrary.wiley.com/doi/full/10.1002/em.21928?casa_token=1oy56WkFKC8AAAAA%3AQCO-_Of-scsHZ0WU9xC4IO1l1SytwZrshVSPsAy11C0kzvdptItduc8uxoWLkFwxgy4VsUzanDSYfarl,Amorphous SiO2,,JRC NM-201,Sprague-Dawley rat,M,0.208,intratracheal instillation,,,0,3,24,3,0,18,140,,,286.6,,0.000160154,0.000160154,0,0,neutro_percent,30.00000001,2.2,9.83E-07,0.182229787,Yeh/Schum Symmetric,man,,4.49,152.4,825.5,3851,792000,,5.67E-06,0.000192424,0.001042298,0.004862374,,0,0.000124,3.66E-06,1.44E-07,,rat
In_vivo_127_dep_dose_neutro_percent.txt,7.05E-09,3.12E-11,6.60E-08,127,105,Guichard 2014,https://onlinelibrary.wiley.com/doi/full/10.1002/em.21928?casa_token=1oy56WkFKC8AAAAA%3AQCO-_Of-scsHZ0WU9xC4IO1l1SytwZrshVSPsAy11C0kzvdptItduc8uxoWLkFwxgy4VsUzanDSYfarl,Amorphous SiO2,,JRC NM200,Sprague-Dawley rat,M,0.208,intratracheal instillation,,,0,3,24,3,12,17.7,204,,,143.3,,0.000160154,0.000160154,1.20E-06,4.00E-07,neutro_percent,82.27848101,2.2,1.44E-05,0.334947738,Yeh/Schum Symmetric,man,,4.439,150.7,816.2,3807,792000,,5.60E-06,0.000190278,0.001030556,0.004806818,,0,0.001257852,3.72E-05,1.47E-06,,rat
In_vivo_128_dep_dose_neutro_percent.txt,2.44E-09,1.34E-11,3.87E-08,128,106,Guichard 2014,https://onlinelibrary.wiley.com/doi/full/10.1002/em.21928?casa_token=1oy56WkFKC8AAAAA%3AQCO-_Of-scsHZ0WU9xC4IO1l1SytwZrshVSPsAy11C0kzvdptItduc8uxoWLkFwxgy4VsUzanDSYfarl,Amorphous SiO2,,JRC NM-203,Sprague-Dawley rat,M,0.208,intratracheal instillation,,,0,3,24,3,0,24.7,204,,,154.7,,0.000160154,0.000160154,0,0,neutro_percent,36.84210526,2.2,4.98E-06,0.421996313,Yeh/Schum Symmetric,man,,5.158,175.1,948.2,4423,792000,,6.51E-06,0.000221086,0.001197222,0.005584596,,0,0.000374964,1.10E-05,4.38E-07,,rat
In_vivo_29_dep_dose_neutro.txt,1.61E-05,0,3.61E-05,29,115,Kaewamatawong 2006,https://journals.sagepub.com/doi/full/10.1080/01926230601094552,Amorphous SiO2,,Fuso chemical,ICR mouse,M,0.036,intratracheal instillation,,,0,1,0,72,,14,194,,,,,0.00204499,0.00204499,0.000204499,0.000204499,neutro,193000,2.2,0.031234,,Yeh/Schum Symmetric,man,,3.615,122.7,664.6,3100,792000,,4.56E-06,0.000154924,0.000839141,0.003914141,,0,3.529493776,0.103986308,0.004115845,,mouse
In_vivo_6_dep_dose_neutro.txt,5.53E-06,,,6,26,Cho 2007,https://www.sciencedirect.com/science/article/pii/S0378427407009629,Amorphous SiO2,,,A/J mouse,M,0.023,intratracheal instillation,,,0,1,0,0,50,14,194.8051948,,,,,0.00204499,0.00204499,0.002351738,0.002351738,neutro,31798.2,2.2,0.010772727,,Yeh/Schum Symmetric,man,,3.615,122.7,664.6,3100,792000,,4.56E-06,0.000154924,0.000839141,0.003914141,,0,1.211113693,0.035681956,0.001412315,,mouse
In_vivo_1031_air_conc_after_five_d_human_mg_m3_neutro.txt,0.000108241,4.19E-05,4.65E-05,1031,,Landsiedel 2014,,Amorphous SiO2,amorphous,,Wistar rat,M,,inhalation,6,5,1,0,0,3,,15,181.8181818,,1300,,,,,,,neutro,,2.2,0.196801818,1,,man,,,,,,,,4.90E-06,,,,,,22.09,,,0.196801818,rat
In_vivo_2170_air_conc_after_five_d_human_mg_m3_neutro_percent.txt,4.48E-10,0,1.12E-08,2170,,Sayez 2007,,Amorphous SiO2,,,Crl:CD rat,M,,intratracheal instillation,,,0,1,0,24,,35,77.92207792,,,213.5,,,,,,neutro_percent,,2.2,3.49E-07,0.432141355,,man,,,,,,,,6.62E-06,,,,,,6.76E-05,,,3.49E-07,rat
In_vivo_1031_air_conc_after_five_d_human_mg_m3_neutro.txt,0.000108241,4.19E-05,4.65E-05,1031,,Landsiedel 2014,,Amorphous SiO2,amorphous,,Wistar rat,M,,inhalation,6,5,1,0,0,3,,15,181.8181818,,1300,,,,,,,neutro,,2.2,0.196801818,1,,man,,,,,,,,4.90E-06,,,,,,22.09,,,0.196801818,rat
In_vivo_2170_air_conc_after_five_d_human_mg_m3_neutro_percent.txt,4.48E-10,0,1.12E-08,2170,,Sayez 2007,,Amorphous SiO2,,,Crl:CD rat,M,,intratracheal instillation,,,0,1,0,24,,35,77.92207792,,,213.5,,,,,,neutro_percent,,2.2,3.49E-07,0.432141355,,man,,,,,,,,6.62E-06,,,,,,6.76E-05,,,3.49E-07,rat
In_vivo_109_dep_dose_neutro_percent.txt,4.30E-06,3.01E-06,5.99E-06,109,37,Keller 2014,https://link.springer.com/article/10.1007/s00204-014-1349-9#Sec2,CeO2,,NM-212,Wistar rat,F,0.325,inhalation,6,5,1,0,0,72,,40,30,,1200,,,2.61E-06,2.77E-06,0,0,neutro_percent,1.286678174,7.2,0.00129,1,Yeh/Schum Symmetric,man,3.843,5.122,173.9,941.7,4393,792000,4.85E-06,6.47E-06,0.000219571,0.001189015,0.005546717,0.88618267,0,0.664896525,0.019583669,0.000775233,,rat
In_vivo_10_dep_dose_neutro.txt,8.31E-07,0,8.47E-07,10,41,Keller 2014,https://link.springer.com/article/10.1007/s00204-014-1349-9#Sec2,CeO2,,NM-211,Wistar rat,F,0.325,inhalation,6,5,1,0,0,72,,12.5,33,,1450,,,2.88E-06,3.06E-06,0,0,neutro,0.82,7.2,0.000274329,1,Yeh/Schum Symmetric,man,2.371,3.161,107.3,581.1,2711,792000,2.99E-06,3.99E-06,0.00013548,0.000733712,0.00342298,0.277684353,0,0.208285226,0.00613597,0.000242859,,rat
In_vivo_110_dep_dose_neutro_percent.txt,9.02E-06,4.39E-06,2.31E-05,110,41,Keller 2014,https://link.springer.com/article/10.1007/s00204-014-1349-9#Sec2,CeO2,,NM-211,Wistar rat,F,0.325,inhalation,6,5,1,0,0,72,,12.5,33,,1450,,,2.88E-06,3.06E-06,0,0,neutro_percent,1.286678174,7.2,0.0029766,1,Yeh/Schum Symmetric,man,2.371,3.161,107.3,581.1,2711,792000,2.99E-06,3.99E-06,0.00013548,0.000733712,0.00342298,3.01300717,0,2.259993673,0.066578192,0.002635131,,rat
In_vivo_119_dep_dose_neutro_percent.txt,1.00E-06,0,1.11E-05,119,72,Morimoto 2015,https://link.springer.com/article/10.1007/s11051-015-3249-1#Sec13,CeO2,,,Fisher rat,M,0.25,intratracheal instillation,,,0,1,0,72,0,7.8,101,,,10,,0.000160154,0.000160154,0,0,neutro_percent,2.608695652,7.2,0.00101,5.75728381,Yeh/Schum Symmetric,man,,1.276,43.3,234.6,1094,792000,,1.61E-06,5.47E-05,0.000296212,0.001381313,,0,0.620689655,0.018290993,0.000723949,,rat
In_vivo_19_dep_dose_neutro.txt,1.03E-06,,,19,73,Morimoto 2015,https://link.springer.com/article/10.1007/s11051-015-3249-1#Sec13,CeO2,,,Fisher rat,M,0.25,intratracheal instillation,,,0,1,0,72,0.8,7.8,101,,,10,,0.000160154,0.000160154,3.20E-05,3.20E-05,neutro,114130.4348,7.2,0.0010403,5.75728381,Yeh/Schum Symmetric,man,,1.276,43.3,234.6,1094,792000,,1.61E-06,5.47E-05,0.000296212,0.001381313,,0,0.637448276,0.01878485,0.000743495,,rat
In_vivo_1_dep_dose_neutro.txt,9.74E-07,0,1.18E-06,1,1,Landsiedel 2014,https://particleandfibretoxicology.biomedcentral.com/articles/10.1186/1743-8977-11-16#Sec28,CeO2,,,Wistar rat,M,0.325,inhalation,6,5,1,0,0,72,,36,33,,766,,,2.32E-06,2.47E-06,0,0,neutro,1,7.2,0.00032142,1,Yeh/Schum Symmetric,man,3.924,5.231,177.6,961.6,4486,792000,4.95E-06,6.60E-06,0.000224242,0.001214141,0.005664141,0.19666789,0,0.147529115,0.004345297,0.00017203,,rat
In_vivo_5_dep_dose_neutro.txt,1.39E-06,0,3.84E-06,5,17,Ma 2010,https://www.tandfonline.com/doi/full/10.3109/17435390.2010.519835,CeO2,,,Sprague-Dawley rat,M,0.325,intratracheal instillation,,,0,1,0,24,0,20,41.66666667,,,,,0.000160154,0.000160154,0,0,neutro,222222.2222,7.2,0.000579167,,Yeh/Schum Symmetric,man,,4.77,161.9,877,4091,792000,,6.02E-06,0.000204419,0.001107323,0.005165404,,0,0.230128302,0.006780185,0.000268324,,rat
In_vivo_9_dep_dose_neutro.txt,9.61E-07,0,4.83E-06,9,37,Keller 2014,https://link.springer.com/article/10.1007/s00204-014-1349-9#Sec2,CeO2,,NM-212,Wistar rat,F,0.325,inhalation,6,5,1,0,0,72,,40,30,,1200,,,2.61E-06,2.77E-06,0,0,neutro,0.82,7.2,0.0002883,1,Yeh/Schum Symmetric,man,3.843,5.122,173.9,941.7,4393,792000,4.85E-06,6.47E-06,0.000219571,0.001189015,0.005546717,0.197948478,0,0.148519328,0.004374445,0.000173165,,rat
In_vivo_2564_dep_end_neutro_percent.txt,0.000372,6.57E-05,0.317,1178,,Loret 2018,,CeO2,,,Wistar rat,M,,intratracheal instillation,,,0,1,0,24,,29,27,,,233,,,,,,neutro_percent,,7.2,0.10044,,,man,,,,,,,,6.65E-06,,,,,,56,,,0.10044,rat
In_vivo_115_dep_dose_neutro_percent.txt,8.22E-05,4.69E-05,0.000125,115,60,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,0,50,31.4,,,,,0.000160154,0.000160154,0,0,neutro_percent,3.116883117,2.65,0.0258108,,Yeh/Schum Symmetric,man,,4.753,161.4,873.9,4077,792000,,6.00E-06,0.000203788,0.001103409,0.005147727,,0,13.69711761,0.403360595,0.015968212,,rat
In_vivo_116_dep_dose_neutro_percent.txt,2.77E-05,1.29E-05,4.67E-05,116,65,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,Min-U-Sil,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,5,534,5.1,,,,,0.000160154,0.000160154,0.000220211,0.000220211,neutro_percent,68.83116883,2.65,0.0014127,,Yeh/Schum Symmetric,man,,1.907,64.8,350.7,1636,792000,,2.41E-06,8.18E-05,0.000442803,0.002065657,,0,11.50414263,0.338555556,0.01340978,,rat
In_vivo_117_dep_dose_neutro_percent.txt,1.18E-05,1.14E-06,5.99E-05,117,66,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,0,12,90.5,,,,,0.000160154,0.000160154,0,0,neutro_percent,13.62318841,2.65,0.010679,,Yeh/Schum Symmetric,man,,2.992,101.6,550.1,2566,792000,,3.78E-06,0.000128283,0.000694571,0.003239899,,0,3.123529412,0.091984252,0.003642089,,rat
In_vivo_118_dep_dose_neutro_percent.txt,0.000108,5.39E-05,0.000193,118,69,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,0,300,4.2,,,,,0.000160154,0.000160154,0,0,neutro_percent,13.62318841,2.65,0.004536,,Yeh/Schum Symmetric,man,,1.738,59,319.6,1491,792000,,2.19E-06,7.45E-05,0.000403535,0.001882576,,0,49.21518987,1.449762712,0.057368209,,rat
In_vivo_15_dep_dose_neutro.txt,4.54E-06,0,1.88E-05,15,62,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,5,50,31.4,,,,,0.000160154,0.000160154,0.000220211,0.000220211,neutro,6137249.112,2.65,0.00142556,,Yeh/Schum Symmetric,man,,4.753,161.4,873.9,4077,792000,,6.00E-06,0.000203788,0.001103409,0.005147727,,0,0.756174206,0.022268253,0.000881554,,rat
In_vivo_16_dep_dose_neutro.txt,1.07E-06,,,16,63,Warheit 2007,https://academic.oup.com/toxsci/article/95/1/270/1690460,Crystalline SiO2,,Min-U-Sil,CrlCDSDIGS BR rat,M,0.275,intratracheal instillation,,,0,1,0,24,0,534,5.1,,,,,0.000160154,0.000160154,0,0,neutro,198347.1074,2.65,5.46E-05,,Yeh/Schum Symmetric,man,,1.907,64.8,350.7,1636,792000,,2.41E-06,8.18E-05,0.000442803,0.002065657,,0,0.444383849,0.013077778,0.000517995,,rat
