analysis,BMD_mg/cm2,BMDL,BMDH,ID_BMD,ID,author_year,Substance,type,media,pp_density,pp_diameter,agg_diameter,agg_effective_density,simulation_time,organism,cell_type,ssa_m2/g,Mass_per_Area_end_mg/cm2,exposure_concentration_air_five_d_mg/m3,exposure_concentration_air_life_mg/m3,variable,SA_BMD_cm2/cm2,ssa_BMDL,air_BMD_mg/m3,Dep_area_5d_mg/cm2,Dep_area_lifetime_mg/cm2
In_vitro_1037_dep_dose_release_il1b.txt,1.0800000000000002e-05,,,1037,149,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,137.3,1.162809734,48,mouse,MH-S murine macrophages,189.16,0.0010499910000000001,230.26118430000002,0.268255794,release_il1b,0.020467112,,2.372807018,4.56e-06,0.0039141409999999995
In_vitro_1038_dep_dose_release_il1b.txt,9.2e-06,,,1038,152,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13.0,138.3,1.152047858,48,mouse,MH-S murine macrophages,203.92,0.001038661,247.3002381,0.288638413,release_il1b,0.018756562,,2.19,4.2e-06,0.003598485
In_vitro_1039_dep_dose_release_il1b.txt,3.3e-06,3.24e-06,3.36e-06,1039,155,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,14.0,137.3,1.162809734,48,mouse,RAW264.7 murine macrophages,189.16,0.0010499910000000001,230.26118430000002,0.268255794,release_il1b,0.0062460630000000005,0.006128784,0.724122807,4.56e-06,0.0039141409999999995
In_vitro_1040_dep_dose_release_il1b.txt,3.97e-06,0.0,0.000337,1040,158,Di Cristo 2016,Amorphous SiO2,,RPMI+10%FBS,2.2,13.0,138.3,1.152047858,48,mouse,RAW264.7 murine macrophages,203.92,0.001038661,247.3002381,0.288638413,release_il1b,0.008101742,0.0,0.9459523809999999,4.2e-06,0.003598485
In_vitro_1067_dep_dose_release_il1b.txt,0.00018109999999999998,4.53e-06,0.0028,1067,258,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17.0,1350.0,1.4634,24,human,THP1,93.37068161,0.151387517,27828.58768,32.42263693,release_il1b,0.16909430399999997,0.004229692,33.29044117,5.44e-06,0.004669192
In_vitro_1069_dep_dose_release_il1b.txt,0.03383,0.00556,0.0887,1069,264,Murugadoss 2020,TiO2,anatase,RPMI,3.78,17.0,1140.0,1.4896,24,human,THP1,93.37068161,0.002338376,429.84852970000003,0.500809562,release_il1b,31.58730159,5.191409898,6218.7500039999995,5.44e-06,0.004669192
In_vitro_1096_dep_dose_release_il1b.txt,2.5300000000000002e-05,2.47e-05,2.59e-05,1096,400,Dinesh 2017,TiO2,anatase,DMEM,3.78,85.5,1562.0,1.203470463,24,mouse,RAW264.7,18.56493085,2.9199999999999998e-05,6.47450111,0.007550245,release_il1b,0.00470064,0.004585538,5.614190689,4.51e-06,0.0038674240000000004
In_vitro_1097_dep_dose_release_il1b.txt,0.00018969999999999998,5.73e-05,0.000584,1097,404,Dinesh 2017,TiO2,anatase,DMEM,3.78,72.8,848.0,1.3050751059999999,24,mouse,RAW264.7,21.80359323,2.62e-05,5.2716297789999995,0.006140989,release_il1b,0.041361416,0.012493458999999998,38.16901409,4.97e-06,0.0042664140000000005
In_vitro_1115_dep_dose_release_il1b.txt,3.79e-05,3.72e-05,3.85e-05,1115,533,Cho 2013,CeO2,,RPMI+10%FBS,7.2,9.7,69.3,2.065022988,24,human,THP1 macrophages,24.1,0.059264066,22279.72388,26.0183677,release_il1b,0.00913149,0.0089652,14.24436079,2.66e-06,0.002277778
In_vitro_1120_dep_dose_release_il1b.txt,0.00026319999999999995,0.000261,0.000266,1120,551,Cho 2013,TiO2,rutile,RPMI+10%FBS,4.23,30.5,89.8,2.228612555,24,human,THP1 macrophages,27.5,0.016272368,2435.983299,2.8412070519999997,release_il1b,0.07238,0.071775,39.40119866,6.68e-06,0.005727273000000001
In_vitro_1125_dep_dose_release_il1b.txt,1e-06,4.8e-07,6.01e-06,1125,571,Cho 2013,Amorphous SiO2,,RPMI+10%FBS,2.2,6.2,398.1,1.038490568,24,human,THP1 macrophages,523.4,0.00121068,1574.356326,1.8361915030000002,release_il1b,0.005234,0.00251232,1.300390133,7.690000000000001e-07,0.0006593430000000001
In_vitro_1146_dep_dose_release_il1b.txt,0.01176,0.0117,0.0118,1146,667,Cappellini 2020,CeO2,,RPMI+10%FBS,7.2,28.4,396.0,1.5881280080000002,24,human,THP1 macrophages,27.2,0.001996778,299.81651669999997,0.34941411899999997,release_il1b,3.1987200000000002,3.1824,1765.765767,6.66e-06,0.0057146459999999994
In_vitro_1147_dep_dose_release_il1b.txt,0.01126,0.007379999999999999,0.0136,1147,675,Cappellini 2020,CeO2,,RPMI,7.2,28.4,396.0,1.582869371,24,human,THP1 macrophages,27.2,0.018113062,2719.67898,3.16958601,release_il1b,3.06272,2.00736,1690.690691,6.66e-06,0.0057146459999999994
In_vitro_1156_dep_dose_release_il1b.txt,1.7899999999999998e-05,3.95e-06,4.74e-05,1156,715,Li 2021,Amorphous SiO2,,RPMI,2.2,35.0,166.8,1.297823011,24,human,THP1 macrophages,77.0,0.000581176,87.79093644,0.102309703,release_il1b,0.013775299999999999,0.0030415,2.702416915,6.62e-06,0.005680556
In_vitro_115_dep_dose_release_tnfa.txt,0.00017669999999999999,0.000166,0.000188,115,531,Cho 2013,CeO2,,RPMI+10%FBS,7.2,9.7,69.3,2.065022988,24,human,THP1 macrophages,24.1,0.01093748,4111.834446,4.801819856,release_tnfa,0.042584699999999996,0.040006,66.42856916,2.66e-06,0.002277778
In_vitro_1160_dep_dose_release_il1b.txt,0.0035310000000000003,0.00234,0.00395,1160,732,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,20.0,576.0,1.0579940159999999,24,human,THP1 macrophages,613.0,0.002117651,351.7692697,0.40986791,release_il1b,21.64503,14.3442,586.5448514999999,6.02e-06,0.005166667
In_vitro_1161_dep_dose_release_il1b.txt,0.0003552,0.000349,0.000361,1161,735,Breznan 2017,Amorphous SiO2,,RPMI+5%FBS,2.2,16.0,385.0,1.0682336590000001,24,human,THP1 macrophages,302.0,0.002262994,436.0296718,0.5085956939999999,release_il1b,1.072704,1.05398,68.43930626,5.19e-06,0.004449495
In_vitro_1168_dep_dose_release_il1b.txt,2.79e-06,2.78e-06,2.8e-06,1168,757,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+2%FBS,2.2,24.0,134.0,1.25377654,18,human,human macrophages,140.0,2.0399999999999998e-05,3.157894862,0.003679526,release_il1b,0.0039088000000000005,0.003892,0.43219816,6.46e-06,0.005544192
In_vitro_1169_dep_dose_release_il1b.txt,0.0011,0.0,0.0011,1169,760,Fedeli 2013,Amorphous SiO2,LUDOX TM-40,DMEM+5%FBS,2.2,24.0,109.0,1.303892367,18,human,human macrophages,140.0,0.0008075980000000001,125.01517040000002,0.14566559,release_il1b,1.54,0.0,170.2786379,6.46e-06,0.005544192
In_vitro_1174_dep_dose_release_il1b.txt,2.2100000000000002e-05,0.0,0.000241,1174,784,Brzicova 2019,TiO2,anatase,RPMI+10%FBS,3.78,190.0,254.0,3.143174534,24,human,THP1 macrophages,10.0,0.0003,111.5241636,0.12997810699999998,release_il1b,0.002212,0.0,8.223048329,2.69e-06,0.002308081
In_vitro_1175_dep_dose_release_il1b.txt,0.002672,0.000364,0.0033200000000000005,1175,792,Brzicova 2019,Amorphous SiO2,,RPMI+10%FBS,2.2,32.0,32.0,2.2,24,human,THP1 macrophages,189.0,0.004708918,705.9847069,0.82291774,release_il1b,5.05008,0.68796,400.5996997,6.67e-06,0.005722222
