ID,g_id,author_year,link,Substance,type,vendor,media,media_viscosity,media_density,media_temperature,pp_density,agg_diameter,agg_effective_density,pp_diameter,ssa,plate,column_height,initial_concentration,exp_rep,simulation_time,organism,cell_type,release_tnfa,release_il1b,release_il8,release_il6,release_mip2,notes,ssa_m2/g
76,21,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,TiO2,,NM105,F-12K,0.00074,1,,4.23,167,1.647440595,28,47,96 well plates,3,0,,16,rat,NR8383 rat macrophages,0,,,,,,47
77,21,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,TiO2,,NM105,F-12K,0.00074,1,,4.23,167,1.647440595,28,47,96 well plates,3,0.0225,,16,rat,NR8383 rat macrophages,19.2,,,,,,47
78,21,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,TiO2,,NM105,F-12K,0.00074,1,,4.23,167,1.647440595,28,47,96 well plates,3,0.045,,16,rat,NR8383 rat macrophages,25.8,,,,,,47
79,21,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,TiO2,,NM105,F-12K,0.00074,1,,4.23,167,1.647440595,28,47,96 well plates,3,0.09,,16,rat,NR8383 rat macrophages,55.4,,,,,,47
80,21,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,TiO2,,NM105,F-12K,0.00074,1,,4.23,167,1.647440595,28,47,96 well plates,3,0.18,,16,rat,NR8383 rat macrophages,59.6,,,,,,47
81,22,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,,F-12K,0.00074,1,,7.2,159,2.790557491,40,33,96 well plates,3,0,,16,rat,NR8383 rat macrophages,0,,,,,,33
82,22,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,,F-12K,0.00074,1,,7.2,159,2.790557491,40,33,96 well plates,3,0.0225,,16,rat,NR8383 rat macrophages,20.5,,,,,,33
83,22,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,,F-12K,0.00074,1,,7.2,159,2.790557491,40,33,96 well plates,3,0.045,,16,rat,NR8383 rat macrophages,35.8,,,,,,33
84,22,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,,F-12K,0.00074,1,,7.2,159,2.790557491,40,33,96 well plates,3,0.09,,16,rat,NR8383 rat macrophages,89.3,,,,,,33
85,22,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,,F-12K,0.00074,1,,7.2,159,2.790557491,40,33,96 well plates,3,0.18,,16,rat,NR8383 rat macrophages,96.2,,,,,,33
86,23,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-211,F-12K,0.00074,1,,7.2,130,1.887819758,15,66,96 well plates,3,0,,16,rat,NR8383 rat macrophages,0,,,,,,66
87,23,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-211,F-12K,0.00074,1,,7.2,130,1.887819758,15,66,96 well plates,3,0.0225,,16,rat,NR8383 rat macrophages,70.8,,,,,,66
88,23,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-211,F-12K,0.00074,1,,7.2,130,1.887819758,15,66,96 well plates,3,0.045,,16,rat,NR8383 rat macrophages,65.4,,,,,,66
89,23,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-211,F-12K,0.00074,1,,7.2,130,1.887819758,15,66,96 well plates,3,0.09,,16,rat,NR8383 rat macrophages,75,,,,,,66
90,23,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-211,F-12K,0.00074,1,,7.2,130,1.887819758,15,66,96 well plates,3,0.18,,16,rat,NR8383 rat macrophages,85.6,,,,,,66
91,24,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-212,F-12K,0.00074,1,,7.2,136,1.852489042,15,27,96 well plates,3,0,,16,rat,NR8383 rat macrophages,0,,,,,,27
92,24,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-212,F-12K,0.00074,1,,7.2,136,1.852489042,15,27,96 well plates,3,0.0225,,16,rat,NR8383 rat macrophages,63.8,,,,,,27
93,24,Wiemann 2016,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-016-0164-2#Sec2,CeO2,,NM-212,F-12K,0.00074,1,,7.2,136,1.852489042,15,27,96 well plates,3,0.045,,16,rat,NR8383 rat macrophages,66.7,,,,,,27
